Earnings_Year,Earnings_Canada_Yearly,Housing_Price_Year,Composite_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,Office_year,office_region,office_property_type,office_index_value,consumer_index_year,consumer_index_value
2005,38101.44,2009,329800,301800,396900,284200,255200,1981,"Montreal, Quebec",School,53.7,1984,75.5
2005,38337,2009,332800,304200,400200,286500,258200,1981,"Montreal, Quebec",School,47,1984,73.4
2005,39007.8,2009,335800,306400,404500,288500,260500,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,47.7,1984,75.7
2005,38740,2009,338700,308200,409200,291200,263300,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,42.9,1984,73.6
2005,38694.24,2009,341500,309900,412800,293300,265600,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,53.2,1984,90.9
2005,38737.92,2009,344000,311700,416200,295000,268300,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,46.2,1984,92
2006,38787.84,2009,344900,312600,416200,296900,270000,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,48.7,1984,91.3
2006,39045.76,2010,348900,316300,421700,299500,272500,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,50.8,1984,92.4
2006,39029.64,2010,353400,320500,428200,302000,275300,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,50.4,1984,91.5
2006,39029.64,2010,356900,324200,432500,305400,277100,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,51.2,1984,62.3
2006,39018.2,2010,359100,326200,435600,308100,278200,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,45.9,1984,4.5
2006,39196.04,2010,360300,327300,437400,309800,279000,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,51.7,1984,63.6
2006,39050.96,2010,359100,326400,436200,309800,276900,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,50.3,1984,75.9
2006,39219.44,2010,357400,325300,433700,307900,274200,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,46.7,1984,73.6
2006,39371.8,2010,355900,324000,432500,306200,272900,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,48.8,1984,76
2006,39607.88,2010,354900,322000,431600,305800,272900,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,60.6,1984,73.7
2006,39541.84,2010,354400,321600,430400,305000,273600,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,58.8,1984,91.3
2006,40219.4,2010,354100,320900,431300,304300,272900,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,46.1,1984,92.5
2007,40233.96,2010,353900,320500,431000,303300,272500,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,50.7,1984,91.6
2007,40379.56,2011,355900,321800,435000,302200,274600,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,46.4,1984,92.7
2007,40768.52,2011,360100,325300,440800,305800,276900,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,44.9,1984,91.7
2007,40639.04,2011,364300,330100,446300,308600,279200,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Light factory,51.3,1984,0
2007,40809.08,2011,367300,332800,450300,310500,281300,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,48.6,1984,0
2007,41227.16,2011,369800,335200,453700,311700,282400,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,49.4,1984,62.7
2007,40987.96,2011,370800,335600,454900,313200,283900,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,51.6,1984,4.4
2007,40774.24,2011,371500,336100,456200,314300,284100,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,46.7,1984,63.7
2007,41123.16,2011,372200,336100,457700,315100,284500,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",School,42.8,1984,76
2007,41265.12,2011,372200,335600,458000,315300,284500,1981,"Toronto, Ontario",Office,46.7,1984,74
2007,41556.84,2011,372000,335400,458000,314700,284100,1981,"Toronto, Ontario",Office,44.2,1984,76
2007,41572.96,2011,371500,335000,457400,314300,283400,1981,"Toronto, Ontario",Office,50.7,1984,73.9
2008,41471.04,2011,371000,334800,457700,314100,282800,1981,"Toronto, Ontario",Office,46,1984,91.8
2008,42097.64,2012,373200,338100,460800,313700,283000,1981,"Toronto, Ontario",Office,44.5,1984,92.8
2008,42038.36,2012,376700,340000,466900,315600,284500,1981,"Toronto, Ontario",Warehouse,43.1,1984,92
2008,42141.84,2012,380700,344400,471800,318100,286800,1981,"Toronto, Ontario",Warehouse,42.2,1984,92.7
2008,41958.28,2012,384200,348400,476100,320200,288500,1981,"Toronto, Ontario",Warehouse,42.4,1984,91.9
2008,42217.76,2012,386900,350600,479800,322100,291200,1981,"Toronto, Ontario",Warehouse,44.7,1984,0
2008,41982.72,2012,387100,350800,480100,323000,290600,1981,"Toronto, Ontario",Warehouse,49.6,1984,0
2008,41910.44,2012,386400,350100,479500,323000,289600,1981,"Toronto, Ontario",Shopping centre,47.5,1984,62.8
2008,42283.8,2012,385900,350400,478600,322800,288700,1981,"Toronto, Ontario",Shopping centre,45.7,1984,4.4
2008,42532.36,2012,385400,349700,478300,321500,288900,1981,"Toronto, Ontario",Shopping centre,45.6,1984,63.9
2008,42573.44,2012,384200,347700,477300,322600,287500,1981,"Toronto, Ontario",Shopping centre,56.6,1984,76.3
2008,42352.44,2012,382900,347100,475800,321100,285800,1981,"Toronto, Ontario",Shopping centre,52.4,1984,74.2
2009,42384.68,2012,381900,346200,474600,320900,284900,1981,"Toronto, Ontario",Light factory,41.7,1984,76.2
2009,42881.28,2013,383200,347100,477300,320400,284900,1981,"Toronto, Ontario",Light factory,45.4,1984,74.1
2009,42863.08,2013,386600,351700,481300,322600,286200,1981,"Toronto, Ontario",Light factory,37.7,1984,92.1
2009,42513.12,2013,390600,355400,486300,324700,289300,1981,"Toronto, Ontario",Light factory,46.1,1984,93
2009,42414.84,2013,393800,357800,490900,326400,291400,1981,"Toronto, Ontario",Light factory,43.5,1984,92.2
2009,42781.96,2013,395600,359400,493300,329300,292100,1981,"Toronto, Ontario",School,46.3,1984,93
2009,42592.16,2013,397100,360900,495200,330800,292500,1981,"Toronto, Ontario",School,48.8,1984,92.2
2009,42430.96,2013,397300,361100,496400,330400,292500,1981,"Toronto, Ontario",School,46.6,1984,0
2009,42943.68,2013,397600,361100,497000,330600,292900,1981,"Toronto, Ontario",School,44.6,1984,0
2009,42916.12,2013,398300,362900,496400,331000,292900,1981,"Toronto, Ontario",School,42.4,1984,63
2009,43071.6,2013,398100,362500,496700,331400,292500,1981,"Calgary, Alberta",Office,66.1,1984,4.4
2009,43384.64,2013,398300,362000,497900,331900,292900,1981,"Calgary, Alberta",Office,61.6,1984,63.9
2010,43327.96,2013,398300,362000,497600,331400,292300,1981,"Calgary, Alberta",Office,69.3,1984,76.3
2010,44089.24,2014,400800,364400,501000,332900,294200,1981,"Calgary, Alberta",Office,57.9,1984,74.4
2010,43982.12,2014,405000,368800,507100,337000,295700,1981,"Calgary, Alberta",Office,75.5,1984,76.3
2010,43958.72,2014,409000,371500,513300,339700,297800,1981,"Calgary, Alberta",Warehouse,67.6,1984,74.5
2010,43921.8,2014,412700,375000,517600,343700,300100,1981,"Calgary, Alberta",Warehouse,63.1,1984,92.3
