consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
1987,84.6,1987,66.2,,,,,
1987,86,1987,57.1,,,,,
1987,84.6,1987,68.7,,,,,
1987,105.3,1987,73,,,,,
1987,104.7,1987,70.5,,,,,
1987,105.2,1987,62.7,,,,,
1987,104.9,1987,58.1,,,,,
1987,105.2,1987,67.5,,,,,
1987,0.3,1987,63.2,,,,,
1987,0.2,1987,60.6,,,,,
1987,0,1987,64.8,,,,,
1987,0,1987,57.2,,,,,
1987,72,1987,68.8,,,,,
1987,,1987,65.6,,,,,
1987,4.1,1987,64,,,,,
1987,72.2,1987,70.8,,,,,
1987,86.2,1987,69.6,,,,,
1987,85,1987,71.8,,,,,
1987,86.2,1987,70.2,,,,,
1987,84.8,1987,70.6,,,,,
1987,106.1,1987,71.3,,,,,
1987,105.1,1987,67.2,,,,,
1987,105.7,1987,72.7,,,,,
1987,105.1,1987,74.8,,,,,
1987,105.5,1987,73.6,,,,,
1987,0.3,1987,70.1,,,,,
1987,0.2,1987,66.8,,,,,
1987,0,1987,70.8,,,,,
1987,0,1987,73.4,,,,,
1987,72.3,1987,73.1,,,,,
1987,,1987,69.8,,,,,
1987,4.1,1987,68.4,,,,,
1987,72.5,1987,73,,,,,
1987,86.5,1987,69.4,,,,,
1987,85.4,1987,64.3,,,,,
1987,86.6,1987,70.9,,,,,
1987,85.2,1987,70.3,,,,,
1987,106.4,1987,72.4,,,,,
1987,105.5,1987,72.9,,,,,
1987,106.2,1987,64,,,,,
1987,105.6,1987,70.7,,,,,
1987,106,1987,68.5,,,,,
1987,0.3,1987,72.4,,,,,
1987,0.2,1987,65.4,,,,,
1987,0,1987,68.3,,,,,
1987,0,1987,71.5,,,,,
1987,72.3,1987,82.1,,,,,
1987,,1987,83.9,,,,,
1987,3.7,1987,90.1,,,,,
1987,72.6,1987,68.9,,,,,
1987,86.6,1987,77,,,,,
1987,85.4,1987,87.9,,,,,
1987,86.8,1987,87.7,,,,,
1987,85.5,1987,91.8,,,,,
1987,106.3,1987,72,,,,,
1987,105.6,1987,78.5,,,,,
1987,106.3,1987,87.9,,,,,
1987,105.9,1987,88.6,,,,,
1987,106.4,1987,91,,,,,
1987,0.3,1987,79.7,,,,,
1987,0.2,1987,81.1,,,,,
1987,0,1987,82,,,,,
1987,0,1987,89.7,,,,,
1990,79,1987,89.7,,,,,
1990,,1987,65.5,,,,,
1990,4.3,1987,75.1,,,,,
1990,78.6,1987,82.2,,,,,
1990,93.9,1987,87.4,,,,,
1990,93.3,1987,87.6,,,,,
1990,93.9,1987,74,,,,,
1990,93.5,1987,73.8,,,,,
1990,115.9,1987,75.5,,,,,
1990,114.5,1987,75.1,,,,,
1990,116,1987,80.5,,,,,
1990,114.6,1987,67,,,,,
1990,116.3,1987,68,,,,,
1990,0.9,1987,79.5,,,,,
1990,0.9,1987,77,,,,,
1990,0.1,1987,82.6,,,,,
1990,0,1987,68.1,,,,,
1990,79.4,1987,71.9,,,,,
1990,,1987,81.8,,,,,
1990,4,1987,77.6,,,,,
1990,79.1,1987,83.6,,,,,
1990,94.5,1987,76.3,,,,,
1990,93.8,1987,81.8,,,,,
1990,94.5,1987,72,,,,,
1990,93.8,1987,72.7,,,,,
1990,116.2,1987,77.8,,,,,
1990,115.2,1987,64.3,,,,,
1990,116.6,1987,69.2,,,,,
1990,115.2,1987,74.1,,,,,
1990,116.7,1987,72,,,,,
1990,0.9,1987,78.4,,,,,
1990,0.9,1987,70.2,,,,,
1990,0,1987,64.2,,,,,
1990,0,1987,65.7,,,,,
1990,79.7,1987,60.9,,,,,
1990,,1987,70.1,,,,,
1990,4,1987,63.7,,,,,
1990,79.4,1987,69.9,,,,,
1990,94.8,1987,64.8,,,,,
1990,94.1,1987,61.6,,,,,
1990,94.8,1987,65.8,,,,,
1990,94,1987,61.4,,,,,
1990,116.5,1987,71.8,,,,,
1990,115.6,1987,67.2,,,,,
1990,117,1987,62.9,,,,,
1990,115.6,1987,66.3,,,,,
1990,116.9,1987,70.2,,,,,
1990,0.9,1987,84.8,,,,,
1990,0.9,1987,61.8,,,,,
1990,0,1987,65,,,,,
1990,0,1987,64.3,,,,,
1990,79.8,1987,57.3,,,,,
1990,,1987,69.2,,,,,
1990,4,1987,65.1,,,,,
1990,79.4,1987,60.6,,,,,
1990,94.7,1987,68.3,,,,,
1990,94.2,1987,65,,,,,
1990,94.9,1987,63.6,,,,,
1990,94.3,1987,69.2,,,,,
1990,116.7,1987,62.6,,,,,
1990,115.5,1987,78,,,,,
1990,117.2,1987,63,,,,,
1990,115.8,1987,68.8,,,,,
1990,117.3,1987,66.3,,,,,
1990,1,1987,65.5,,,,,
